d000.s00000.t00000 bn:00106124a
d000.s04257.t00001 bn:00042404n
d000.s04257.t00002 bn:00116295r
d000.s04257.t00003 bn:00061135n
d000.s04257.t00004 bn:00079779n
d000.s04258.t00000 bn:00051508n
d000.s04259.t00000 bn:00032118n
d000.s04259.t00001 bn:00029161n
d000.s04259.t00002 bn:00079779n
d000.s04260.t00000 bn:00049910n
d000.s04260.t00001 bn:00043267n
d000.s04261.t00000 bn:00059192n
d000.s04261.t00001 bn:00104971a
d000.s04261.t00002 bn:00114246r
d000.s04262.t00000 bn:00093573v
d000.s04262.t00001 bn:00031339n
d000.s04262.t00002 bn:00106125a
d000.s04262.t00003 bn:00084343v
d000.s04263.t00000 bn:00094717v
d000.s04263.t00001 bn:00020823n
d000.s04264.t00000 bn:00003604n
d000.s04264.t00001 bn:00115274r
d000.s04265.t00000 bn:00003268n
d000.s04265.t00001 bn:00100503a
d000.s04265.t00002 bn:00020823n
d000.s04265.t00003 bn:00116286r
d000.s04265.t00004 bn:00093332v
d000.s04266.t00000 bn:00012419n
d000.s04266.t00001 bn:00097433a
d000.s04266.t00002 bn:00082690v
d000.s04266.t00003 bn:00113502a
d000.s04266.t00004 bn:00114246r
d000.s04266.t00005 bn:00016733n
d000.s04266.t00006 bn:00114073r
d000.s04266.t00007 bn:00102336a
d000.s04266.t00008 bn:00034394n
d000.s04267.t00000 bn:00085859v
d000.s04267.t00001 bn:00086708v
d000.s04267.t00002 bn:00027022n
d000.s04267.t00003 bn:00092916v
d000.s04267.t00004 bn:00027747n
d000.s04268.t00000 bn:00027747n
d000.s04269.t00000 bn:00016733n
d000.s04269.t00001 bn:00114073r
d000.s04270.t00000 bn:00115576r
d000.s04270.t00001 bn:00097350a
d000.s04270.t00002 bn:00009655n
d000.s04270.t00003 bn:00104971a
d000.s04270.t00004 bn:00046139n
d000.s04270.t00005 bn:00008793n
d000.s04271.t00000 bn:00085450v
d000.s04271.t00001 bn:00081546n
d000.s04271.t00002 bn:00051508n
d000.s04272.t00000 bn:00104971a
d000.s04272.t00001 bn:00095489v
d000.s04272.t00002 bn:00110347a
d000.s04272.t00003 bn:00041942n
d000.s04273.t00000 bn:00021584n
d000.s04273.t00001 bn:00009655n
d000.s04273.t00002 bn:00104971a
d000.s04273.t00003 bn:00107199a
d000.s04274.t00000 bn:00095974a
d000.s04274.t00001 bn:00021584n
d000.s04274.t00002 bn:00110347a
d000.s04275.t00000 bn:00095974a
d000.s04275.t00001 bn:00021584n
d000.s04275.t00002 bn:00074790n
d000.s04275.t00003 bn:00012596n
d000.s04275.t00004 bn:00084160v
d000.s04276.t00000 bn:00090234v
d000.s04276.t00001 bn:00114246r
d000.s04276.t00002 bn:00031293n
d000.s04276.t00003 bn:00046418n
d000.s04276.t00004 bn:00034394n
d000.s04276.t00005 bn:00036472n
d000.s04277.t00000 bn:00115635r
d000.s04277.t00001 bn:00049910n
d000.s04278.t00000 bn:00032395n
d000.s04278.t00001 bn:00087731v
d000.s04279.t00000 bn:00036472n
d000.s04279.t00001 bn:00082690v
d000.s04279.t00002 bn:00071869n
d000.s04279.t00003 bn:00101309a
d000.s04279.t00004 bn:00067030n
d000.s04279.t00005 bn:00022269n
d000.s04280.t00000 bn:00036472n
d000.s04280.t00001 bn:00008793n
d000.s04280.t00002 bn:00082690v
d000.s04280.t00003 bn:00046128n
d000.s04281.t00000 bn:00064526n
d000.s04282.t00000 bn:00047693n
d000.s04282.t00001 bn:00082963v
d000.s04282.t00002 bn:00092837v
d000.s04283.t00000 bn:00054625n
d000.s04284.t00000 bn:00096458a
d000.s04284.t00001 bn:00086557v
d000.s04284.t00002 bn:00092109v
d000.s04284.t00003 bn:00016402n
d000.s04284.t00004 bn:00049910n
d000.s04284.t00005 bn:00113268a
d000.s04284.t00006 bn:00026512n
d000.s04284.t00007 bn:00114626r
d000.s04284.t00008 bn:00004222n
d000.s04284.t00009 bn:00035324n
d000.s04284.t00010 bn:00092816v
d000.s04285.t00000 bn:00087802v
d000.s04285.t00001 bn:00096458a
d000.s04285.t00002 bn:00103672a
d000.s04286.t00000 bn:00017234n
d000.s04286.t00001 bn:00014688n
d000.s04286.t00002 bn:00100117a
d000.s04286.t00003 bn:00087513v
d000.s04286.t00004 bn:00113268a
d000.s04287.t00000 bn:00032306n
d000.s04287.t00001 bn:00089241v
d000.s04287.t00002 bn:00080171n
d000.s04287.t00003 bn:00049910n
d000.s04287.t00004 bn:00075869n
d000.s04287.t00005 bn:00009717n
d000.s04287.t00006 bn:00082276v
d000.s04287.t00007 bn:00009655n
d000.s04288.t00000 bn:00117250r
d000.s04288.t00001 bn:00047726n
d000.s04288.t00002 bn:00113268a
d000.s04289.t00000 bn:00047726n
d000.s04289.t00001 bn:00051508n
d000.s04289.t00002 bn:00103541a
d000.s04289.t00003 bn:00100762a
d000.s04289.t00004 bn:00021662n
d000.s04290.t00000 bn:00082226v
d000.s04290.t00001 bn:00051508n
d000.s04291.t00000 bn:00097350a
d000.s04292.t00000 bn:00051508n
d000.s04293.t00000 bn:00076587n
d000.s04293.t00001 bn:00107686a
d000.s04293.t00002 bn:00096400a
d000.s04293.t00003 bn:00049910n
d000.s04294.t00000 bn:00064526n
d000.s04294.t00001 bn:00050907n
d000.s04294.t00002 bn:00026512n
d000.s04294.t00003 bn:00076587n
d000.s04294.t00004 bn:00049910n
d000.s04295.t00000 bn:00100716a
d000.s04295.t00001 bn:00017747n
d000.s04295.t00002 bn:00114354r
d000.s04295.t00003 bn:00101087a
d000.s04296.t00000 bn:00027153n
d000.s04296.t00001 bn:00100206a
d000.s04296.t00002 bn:00089800v
d000.s04297.t00000 bn:00030314n
d000.s04297.t00001 bn:00036129n
d000.s04297.t00002 bn:00075504n
d000.s04297.t00003 bn:00008268n
d000.s04297.t00004 bn:00104162a
d000.s04297.t00005 bn:00025965n
d000.s04297.t00006 bn:00017747n
d000.s04297.t00007 bn:00045825n
d000.s04297.t00008 bn:00032512n
d000.s04297.t00009 bn:00077593n
d000.s04297.t00010 bn:00056727n
d000.s04298.t00000 bn:00089800v
d000.s04298.t00001 bn:00022206n
d000.s04298.t00002 bn:00057016n
d000.s04298.t00003 bn:00064072n
d000.s04298.t00004 bn:00017747n
d000.s04298.t00005 bn:00083242v
d000.s04298.t00006 bn:00086557v
d000.s04299.t00000 bn:00051508n
d000.s04299.t00001 bn:00060927n
d000.s04299.t00002 bn:00055031n
d000.s04300.t00000 bn:00049910n
d000.s04301.t00000 bn:00112146a
d000.s04301.t00001 bn:00092109v
d000.s04301.t00002 bn:00102757a
d000.s04301.t00003 bn:00012749n
d000.s04302.t00000 bn:00045936n
d000.s04303.t00000 bn:00064914n
d000.s04303.t00001 bn:00049168n
d000.s04304.t00000 bn:00082637v
d000.s04304.t00001 bn:00004452n
d000.s04304.t00002 bn:00044386n
d000.s04304.t00003 bn:00079406n
d000.s04304.t00004 bn:00114079r
d000.s04304.t00005 bn:00096963a
d000.s04304.t00006 bn:00016731n
d000.s04305.t00000 bn:00032156n
d000.s04306.t00000 bn:00089240v
d000.s04306.t00001 bn:00003268n
d000.s04306.t00002 bn:00046849n
d000.s04306.t00003 bn:00063864n
d000.s04307.t00000 bn:00083184v
d000.s04307.t00001 bn:00114246r
d000.s04307.t00002 bn:00006382n
d000.s04307.t00003 bn:00050907n
d000.s04308.t00000 bn:00006382n
d000.s04308.t00001 bn:00005863n
d000.s04308.t00002 bn:00102757a
d000.s04308.t00003 bn:00041942n
d000.s04308.t00004 bn:00049910n
d000.s04308.t00005 bn:00051400n
d000.s04308.t00006 bn:00114626r
d000.s04308.t00007 bn:00082276v
d000.s04308.t00008 bn:00020452n
d000.s04308.t00009 bn:00079406n
d000.s04308.t00010 bn:00078738n
d000.s04308.t00011 bn:00084374v
d000.s04309.t00000 bn:00001551n
d000.s04309.t00001 bn:00081568n
d000.s04309.t00002 bn:00050907n
d000.s04310.t00000 bn:00009631n
d000.s04310.t00001 bn:00040732n
d000.s04310.t00002 bn:00022269n
d000.s04310.t00003 bn:00023654n
d000.s04310.t00004 bn:00041881n
d000.s04311.t00000 bn:00097350a
d000.s04311.t00001 bn:00041881n
d000.s04311.t00002 bn:00087864v
d000.s04311.t00003 bn:00064192n
d000.s04311.t00004 bn:00059130n
d000.s04311.t00005 bn:00059510n
d000.s04312.t00000 bn:00082690v
d000.s04312.t00001 bn:00003126n
d000.s04312.t00002 bn:00059130n
d000.s04312.t00003 bn:00008786n
d000.s04312.t00004 bn:00085648v
d000.s04313.t00000 bn:00007011n
d000.s04313.t00001 bn:00051508n
d000.s04313.t00002 bn:00027153n
d000.s04314.t00000 bn:00108959a
d000.s04314.t00001 bn:00064181n
d000.s04314.t00002 bn:00107267a
d000.s04314.t00003 bn:00026512n
d000.s04314.t00004 bn:00104162a
d000.s04314.t00005 bn:00102171a
d000.s04315.t00000 bn:00100185a
d000.s04315.t00001 bn:00084931v
d000.s04315.t00002 bn:00026512n
d000.s04316.t00000 bn:00026716n
d000.s04316.t00001 bn:00082551v
d000.s04316.t00002 bn:00026967n
d000.s04316.t00003 bn:00084931v
d000.s04317.t00000 bn:00066995n
d000.s04317.t00001 bn:00036632n
d000.s04317.t00002 bn:00023236n
d000.s04317.t00003 bn:00026696n
d000.s04317.t00004 bn:00110842a
d000.s04317.t00005 bn:00084385v
d000.s04318.t00000 bn:00062309n
d000.s04318.t00001 bn:00084413v
d000.s04318.t00002 bn:00101148a
d000.s04318.t00003 bn:00032768n
d000.s04319.t00000 bn:00046516n
d000.s04319.t00001 bn:00084385v
d000.s04320.t00000 bn:00086682v
d000.s04320.t00001 bn:00093287v
d000.s04321.t00000 bn:00086682v
d000.s04321.t00001 bn:00085007v
d000.s04321.t00002 bn:00045161n
d000.s04321.t00003 bn:00063351n
d000.s04321.t00004 bn:00023236n
d000.s04321.t00005 bn:00085337v
d000.s04322.t00000 bn:00077268n
d000.s04322.t00001 bn:00064869n
d000.s04322.t00002 bn:00046693n
d000.s04322.t00003 bn:00110842a
d000.s04322.t00004 bn:00051045n
d000.s04322.t00005 bn:00003341n
d000.s04323.t00000 bn:00101935a
d000.s04323.t00001 bn:00031018n
d000.s04323.t00002 bn:00085528v
d000.s04323.t00003 bn:00101148a
d000.s04323.t00004 bn:00028013n
d000.s04323.t00005 bn:00050954n
d000.s04323.t00006 bn:00082690v
d000.s04323.t00007 bn:00023208n
d000.s04323.t00008 bn:00064869n
d000.s04324.t00000 bn:00085007v
d000.s04324.t00001 bn:00003795n
d000.s04324.t00002 bn:00074900n
d000.s04325.t00000 bn:00093287v
d000.s04325.t00001 bn:00101148a
d000.s04325.t00002 bn:00032768n
d000.s04325.t00003 bn:00090224v
d000.s04325.t00004 bn:00026603n
d000.s04325.t00005 bn:00082481v
d000.s04325.t00006 bn:00026146n
d000.s04325.t00007 bn:00089384v
d000.s04326.t00000 bn:00091452v
d000.s04326.t00001 bn:00099655a
d000.s04326.t00002 bn:00057010n
d000.s04327.t00000 bn:00061605n
d000.s04327.t00001 bn:00045167n
d000.s04328.t00000 bn:00082536v
d000.s04328.t00001 bn:00082318v
d000.s04328.t00002 bn:00114246r
d000.s04329.t00000 bn:00078738n
d000.s04329.t00001 bn:00031622n
d000.s04329.t00002 bn:00084385v
d000.s04330.t00000 bn:00082705v
d000.s04330.t00001 bn:00050940n
d000.s04330.t00002 bn:00064659n
d000.s04330.t00003 bn:00084385v
d000.s04331.t00000 bn:00082690v
d000.s04331.t00001 bn:00050935n
d000.s04331.t00002 bn:00050954n
d000.s04332.t00000 bn:00116326r
d000.s04332.t00001 bn:00082690v
d000.s04332.t00002 bn:00092443v
d000.s04332.t00003 bn:00114245r
d000.s04332.t00004 bn:00082316v
d000.s04332.t00005 bn:00026146n
d000.s04333.t00000 bn:00064659n
d000.s04333.t00001 bn:00092817v
d000.s04333.t00002 bn:00099655a
d000.s04333.t00003 bn:00084385v
d000.s04334.t00000 bn:00063940n
d000.s04334.t00001 bn:00017815n
d000.s04335.t00000 bn:00025646n
d000.s04335.t00001 bn:00046516n
d000.s04335.t00002 bn:00088291v
d000.s04335.t00003 bn:00086933v
d000.s04335.t00004 bn:00004222n
d000.s04335.t00005 bn:00018110n
d000.s04335.t00006 bn:00115274r
d000.s04335.t00007 bn:00082820v
d000.s04336.t00000 bn:00072559n
d000.s04336.t00001 bn:00016719n
d000.s04336.t00002 bn:00067567n
d000.s04336.t00003 bn:00036376n
d000.s04336.t00004 bn:00033854n
d000.s04336.t00005 bn:00082690v
d000.s04336.t00006 bn:00046521n
d000.s04336.t00007 bn:00036654n
d000.s04337.t00000 bn:00085337v
d000.s04338.t00000 bn:00103321a
d000.s04338.t00001 bn:00029909n
d000.s04338.t00002 bn:00023236n
d000.s04338.t00003 bn:00114626r
d000.s04338.t00004 bn:00046693n
d000.s04338.t00005 bn:00089240v
d000.s04338.t00006 bn:00025417n
d000.s04339.t00000 bn:00110849a
d000.s04339.t00001 bn:00035907n
d000.s04340.t00000 bn:00046317n
d000.s04341.t00000 bn:00115484r
d000.s04341.t00001 bn:00017196n
d000.s04341.t00002 bn:00029678n
d000.s04341.t00003 bn:00026403n
d000.s04341.t00004 bn:00031735n
d000.s04341.t00005 bn:00053811n
d000.s04341.t00006 bn:00114212r
d000.s04341.t00007 bn:00084904v
d000.s04341.t00008 bn:00033729n
d000.s04341.t00009 bn:00087802v
d000.s04341.t00010 bn:00046516n
d000.s04342.t00000 bn:00028013n
d000.s04342.t00001 bn:00101148a
d000.s04342.t00002 bn:00046275n
d000.s04342.t00003 bn:00072559n
d000.s04342.t00004 bn:00046696n
d000.s04342.t00005 bn:00105773a
d000.s04342.t00006 bn:00095375v
d000.s04343.t00000 bn:00028013n
d000.s04343.t00001 bn:00003461n
d000.s04343.t00002 bn:00083336v
d000.s04343.t00003 bn:00082197v
d000.s04344.t00000 bn:00107267a
d000.s04344.t00001 bn:00045800n
d000.s04344.t00002 bn:00028013n
d000.s04344.t00003 bn:00093287v
d000.s04344.t00004 bn:00083294v
d000.s04344.t00005 bn:00114246r
d000.s04345.t00000 bn:00046143n
d000.s04346.t00000 bn:00058174n
d000.s04346.t00001 bn:00084062v
d000.s04346.t00002 bn:00000459n
d000.s04347.t00000 bn:00082754v
d000.s04347.t00001 bn:00057530n
d000.s04347.t00002 bn:00106125a
d000.s04347.t00003 bn:00031622n
d000.s04347.t00004 bn:00033729n
d000.s04347.t00005 bn:00045800n
d000.s04347.t00006 bn:00102440a
d000.s04347.t00007 bn:00045632n
d000.s04347.t00008 bn:00000459n
d000.s04347.t00009 bn:00049570n
d000.s04348.t00000 bn:00050935n
d000.s04348.t00001 bn:00101148a
d000.s04348.t00002 bn:00078365n
d000.s04349.t00000 bn:00106124a
d000.s04349.t00001 bn:00050935n
d000.s04349.t00002 bn:00110842a
d000.s04349.t00003 bn:00032768n
d000.s04349.t00004 bn:00026146n
d000.s04349.t00005 bn:00081651n
d000.s04349.t00006 bn:00085567v
d000.s04349.t00007 bn:00106450a
d000.s04349.t00008 bn:00072566n
d000.s04349.t00009 bn:00074010n
d000.s04350.t00000 bn:00068619n
d000.s04350.t00001 bn:00083184v
d000.s04350.t00002 bn:00032310n
d000.s04350.t00003 bn:00072559n
d000.s04350.t00004 bn:00032101n
d000.s04351.t00000 bn:00084711v
d000.s04351.t00001 bn:00023235n
d000.s04351.t00002 bn:00106450a
d000.s04352.t00000 bn:00084413v
d000.s04352.t00001 bn:00050935n
d000.s04352.t00002 bn:00082846v
d000.s04352.t00003 bn:00080439n
d000.s04352.t00004 bn:00033854n
d000.s04353.t00000 bn:00117251r
d000.s04353.t00001 bn:00020858n
d000.s04353.t00002 bn:00098090a
d000.s04353.t00003 bn:00080439n
d000.s04353.t00004 bn:00083370v
d000.s04354.t00000 bn:00078738n
d000.s04354.t00001 bn:00107938a
d000.s04354.t00002 bn:00032286n
d000.s04355.t00000 bn:00078738n
d000.s04355.t00001 bn:00096290a
d000.s04355.t00002 bn:00021788n
d000.s04355.t00003 bn:00082913v
d000.s04355.t00004 bn:00063329n
d000.s04355.t00005 bn:00047530n
d000.s04355.t00006 bn:00114234r
d000.s04355.t00007 bn:00082712v
d000.s04355.t00008 bn:00102239a
d000.s04355.t00009 bn:00005704n
d000.s04355.t00010 bn:00087864v
d000.s04355.t00011 bn:00004710n
d000.s04355.t00012 bn:00082119v
d000.s04356.t00000 bn:00000149n
d000.s04357.t00000 bn:00084413v
d000.s04357.t00001 bn:00095777v
d000.s04358.t00000 bn:00085261v
d000.s04358.t00001 bn:00000738n
d000.s04358.t00002 bn:00102758a
d000.s04359.t00000 bn:00046516n
d000.s04359.t00001 bn:00085337v
d000.s04359.t00002 bn:00050373n
d000.s04360.t00000 bn:00048461n
d000.s04360.t00001 bn:00012059n
d000.s04360.t00002 bn:00047003n
d000.s04361.t00000 bn:00023864n
d000.s04361.t00001 bn:00016987n
d000.s04361.t00002 bn:00075959n
d000.s04361.t00003 bn:00082846v
d000.s04361.t00004 bn:00027489n
d000.s04361.t00005 bn:00001937n
d000.s04362.t00000 bn:00101988a
d000.s04362.t00001 bn:00026604n
d000.s04363.t00000 bn:00012059n
d000.s04363.t00001 bn:00000741n
d000.s04364.t00000 bn:00084931v
d000.s04364.t00001 bn:00070528n
d000.s04364.t00002 bn:00023236n
d000.s04364.t00003 bn:00102038a
d000.s04364.t00004 bn:00021974n
d000.s04365.t00000 bn:00075023n
d000.s04365.t00001 bn:00021974n
d000.s04366.t00000 bn:00021974n
d000.s04367.t00000 bn:00083342v
d000.s04368.t00000 bn:00007287n
d000.s04368.t00001 bn:00046516n
d000.s04368.t00002 bn:00065112n
d000.s04368.t00003 bn:00107787a
d000.s04369.t00000 bn:00021974n
d000.s04369.t00001 bn:00086465v
d000.s04370.t00000 bn:00082668v
d000.s04371.t00000 bn:00008870n
d000.s04371.t00001 bn:00030113n
d000.s04371.t00002 bn:00000445n
d000.s04371.t00003 bn:00021974n
d000.s04372.t00000 bn:00005158n
d000.s04372.t00001 bn:00012213n
d000.s04373.t00000 bn:00107140a
d000.s04373.t00001 bn:00052941n
d000.s04374.t00000 bn:00082844v
d000.s04374.t00001 bn:00091135v
d000.s04375.t00000 bn:00080230n
d000.s04375.t00001 bn:00020978n
d000.s04375.t00002 bn:00052941n
d000.s04375.t00003 bn:00078738n
d000.s04376.t00000 bn:00030751n
d000.s04376.t00001 bn:00091485v
d000.s04376.t00002 bn:00077409n
d000.s04376.t00003 bn:00002178n
d000.s04377.t00000 bn:00015056n
d000.s04377.t00001 bn:00052671n
d000.s04377.t00002 bn:00007287n
d000.s04377.t00003 bn:00057568n
d000.s04377.t00004 bn:00018319n
d000.s04377.t00005 bn:00031981n
d000.s04378.t00000 bn:00086682v
d000.s04378.t00001 bn:00116211r
d000.s04378.t00002 bn:00032118n
d000.s04379.t00000 bn:00082871v
d000.s04379.t00001 bn:00107787a
d000.s04379.t00002 bn:00050935n
d000.s04380.t00000 bn:00032118n
d000.s04380.t00001 bn:00072794n
d000.s04381.t00000 bn:00018783n
d000.s04381.t00001 bn:00082536v
d000.s04381.t00002 bn:00021207n
d000.s04382.t00000 bn:00087778v
d000.s04383.t00000 bn:00005105n
d000.s04384.t00000 bn:00114234r
d000.s04384.t00001 bn:00091234v
d000.s04385.t00000 bn:00107627a
d000.s04385.t00001 bn:00050935n
d000.s04385.t00002 bn:00072559n
d000.s04385.t00003 bn:00096192a
d000.s04386.t00000 bn:00095974a
d000.s04386.t00001 bn:00020977n
d000.s04386.t00002 bn:00067181n
d000.s04387.t00000 bn:00116211r
d000.s04387.t00001 bn:00035883n
d000.s04387.t00002 bn:00093287v
d000.s04387.t00003 bn:00021015n
d000.s04388.t00000 bn:00021015n
d000.s04388.t00001 bn:00082690v
d000.s04388.t00002 bn:00063237n
d000.s04388.t00003 bn:00050935n
d000.s04388.t00004 bn:00084385v
d000.s04388.t00005 bn:00072559n
d000.s04389.t00000 bn:00086933v
d000.s04389.t00001 bn:00018783n
d000.s04389.t00002 bn:00030721n
d000.s04389.t00003 bn:00067807n
d000.s04389.t00004 bn:00046516n
d000.s04389.t00005 bn:00026696n
d000.s04389.t00006 bn:00017621n
d000.s04389.t00007 bn:00087649v
d000.s04390.t00000 bn:00041942n
d000.s04391.t00000 bn:00089100v
d000.s04391.t00001 bn:00052941n
d000.s04392.t00000 bn:00082536v
d000.s04392.t00001 bn:00107267a
d000.s04392.t00002 bn:00012059n
d000.s04392.t00003 bn:00082318v
d000.s04392.t00004 bn:00115235r
d000.s04392.t00005 bn:00052671n
d000.s04392.t00006 bn:00116085r
d000.s04392.t00007 bn:00082692v
d000.s04393.t00000 bn:00114246r
d000.s04393.t00001 bn:00104223a
d000.s04394.t00000 bn:00052941n
d000.s04394.t00001 bn:00050935n
d000.s04394.t00002 bn:00087517v
d000.s04395.t00000 bn:00002171n
d000.s04396.t00000 bn:00082536v
d000.s04396.t00001 bn:00098445a
d000.s04397.t00000 bn:00089584v
d000.s04397.t00001 bn:00049804n
d000.s04397.t00002 bn:00050940n
d000.s04398.t00000 bn:00017748n
d000.s04398.t00001 bn:00050940n
d000.s04398.t00002 bn:00111042a
d000.s04399.t00000 bn:00056758n
d000.s04399.t00001 bn:00028013n
d000.s04400.t00000 bn:00083181v
d000.s04400.t00001 bn:00071435n
d000.s04400.t00002 bn:00113466a
d000.s04401.t00000 bn:00069579n
d000.s04401.t00001 bn:00075872n
d000.s04401.t00002 bn:00017678n
d000.s04401.t00003 bn:00044267n
d000.s04402.t00000 bn:00000639n
d000.s04402.t00001 bn:00055322n
d000.s04402.t00002 bn:00087376v
d000.s04403.t00000 bn:00080439n
d000.s04404.t00000 bn:00013639n
d000.s04404.t00001 bn:00075331n
d000.s04404.t00002 bn:00114073r
d000.s04404.t00003 bn:00025965n
d000.s04404.t00004 bn:00001533n
d000.s04404.t00005 bn:00001530n
d000.s04404.t00006 bn:00096383a
d000.s04405.t00000 bn:00082995v
d000.s04405.t00001 bn:00057052n
d000.s04405.t00002 bn:00096383a
d000.s04405.t00003 bn:00071103n
d000.s04405.t00004 bn:00002224n
d000.s04406.t00000 bn:00002179n
d000.s04406.t00001 bn:00017747n
d000.s04406.t00002 bn:00017793n
d000.s04406.t00003 bn:00096383a
d000.s04407.t00000 bn:00014731n
d000.s04407.t00001 bn:00064072n
d000.s04407.t00002 bn:00034394n
d000.s04408.t00000 bn:00115235r
d000.s04409.t00000 bn:00025878n
d000.s04409.t00001 bn:00036823n
d000.s04409.t00002 bn:00096383a
d000.s04409.t00003 bn:00026105n
d000.s04409.t00004 bn:00080439n
d000.s04410.t00000 bn:00078738n
d000.s04410.t00001 bn:00021844n
d000.s04410.t00002 bn:00114297r
d000.s04410.t00003 bn:00106755a
d000.s04411.t00000 bn:00074615n
d000.s04411.t00001 bn:00005803n
d000.s04411.t00002 bn:00116128r
d000.s04412.t00000 bn:00021844n
d000.s04412.t00001 bn:00071887n
d000.s04412.t00002 bn:00089240v
d000.s04412.t00003 bn:00001410n
d000.s04413.t00000 bn:00082417v
d000.s04414.t00000 bn:00085647v
d000.s04414.t00001 bn:00036822n
d000.s04414.t00002 bn:00088179v
d000.s04414.t00003 bn:00075331n
d000.s04415.t00000 bn:00096383a
d000.s04416.t00000 bn:00032300n
d000.s04416.t00001 bn:00000016n
d000.s04416.t00002 bn:00001294n
d000.s04416.t00003 bn:00000013n
d000.s04416.t00004 bn:00034394n
d000.s04416.t00005 bn:00102277a
d000.s04416.t00006 bn:00078738n
d000.s04416.t00007 bn:00114626r
d000.s04417.t00000 bn:00034394n
d000.s04418.t00000 bn:00032300n
d000.s04419.t00000 bn:00096383a
d000.s04420.t00000 bn:00106724a
d000.s04420.t00001 bn:00035961n
d000.s04420.t00002 bn:00048592n
d000.s04421.t00000 bn:00050587n
d000.s04421.t00001 bn:00045161n
d000.s04421.t00002 bn:00096383a
d000.s04422.t00000 bn:00032300n
d000.s04422.t00001 bn:00074049n
d000.s04422.t00002 bn:00031322n
d000.s04422.t00003 bn:00005732n
d000.s04423.t00000 bn:00021383n
d000.s04423.t00001 bn:00025965n
d000.s04423.t00002 bn:00016016n
d000.s04423.t00003 bn:00107267a
d000.s04423.t00004 bn:00005704n
d000.s04423.t00005 bn:00031322n
d000.s04424.t00000 bn:00022995n
d000.s04424.t00001 bn:00073258n
d000.s04424.t00002 bn:00070219n
d000.s04425.t00000 bn:00114246r
d000.s04425.t00001 bn:00062759n
d000.s04425.t00002 bn:00055475n
d000.s04425.t00003 bn:00035170n
d000.s04425.t00004 bn:00032300n
d000.s04426.t00000 bn:00030618n
d000.s04426.t00001 bn:00078738n
d000.s04426.t00002 bn:00021844n
d000.s04427.t00000 bn:00032661n
d000.s04427.t00001 bn:00078738n
d000.s04428.t00000 bn:00057358n
d000.s04428.t00001 bn:00062759n
d000.s04428.t00002 bn:00054018n
d000.s04428.t00003 bn:00079107n
d000.s04428.t00004 bn:00032645n
d000.s04428.t00005 bn:00031322n
d000.s04428.t00006 bn:00046191n
d000.s04428.t00007 bn:00005732n
d000.s04429.t00000 bn:00070190n
d000.s04429.t00001 bn:00070537n
d000.s04430.t00000 bn:00070190n
d000.s04430.t00001 bn:00090033v
d000.s04430.t00002 bn:00025567n
d000.s04430.t00003 bn:00082225v
d000.s04430.t00004 bn:00000726n
d000.s04430.t00005 bn:00001961n
d000.s04430.t00006 bn:00070459n
d000.s04431.t00000 bn:00114297r
d000.s04431.t00001 bn:00093287v
d000.s04431.t00002 bn:00007054n
d000.s04431.t00003 bn:00070190n
d000.s04431.t00004 bn:00103424a
d000.s04431.t00005 bn:00064428n
d000.s04432.t00000 bn:00021844n
d000.s04432.t00001 bn:00082643v
d000.s04432.t00002 bn:00003132n
d000.s04432.t00003 bn:00025878n
d000.s04432.t00004 bn:00070190n
d000.s04432.t00005 bn:00023301n
d000.s04432.t00006 bn:00115016r
d000.s04433.t00000 bn:00106125a
d000.s04433.t00001 bn:00014457n
d000.s04433.t00002 bn:00021221n
d000.s04433.t00003 bn:00002335n
d000.s04433.t00004 bn:00032645n
d000.s04433.t00005 bn:00091177v
d000.s04433.t00006 bn:00005803n
d000.s04434.t00000 bn:00089083v
d000.s04434.t00001 bn:00107267a
d000.s04434.t00002 bn:00026695n
d000.s04434.t00003 bn:00032645n
d000.s04434.t00004 bn:00031008n
d000.s04435.t00000 bn:00114245r
d000.s04435.t00001 bn:00050587n
d000.s04435.t00002 bn:00068915n
d000.s04435.t00003 bn:00002335n
d000.s04435.t00004 bn:00101236a
d000.s04436.t00000 bn:00114073r
d000.s04436.t00001 bn:00032300n
d000.s04436.t00002 bn:00067280n
d000.s04436.t00003 bn:00026695n
d000.s04437.t00000 bn:00032300n
d000.s04437.t00001 bn:00085450v
d000.s04438.t00000 bn:00013723n
d000.s04438.t00001 bn:00002275n
d000.s04438.t00002 bn:00001294n
d000.s04438.t00003 bn:00067280n
d000.s04438.t00004 bn:00026695n
d000.s04438.t00005 bn:00031322n
d000.s04438.t00006 bn:00005778n
d000.s04438.t00007 bn:00079675n
d000.s04438.t00008 bn:00042221n
d000.s04439.t00000 bn:00032300n
d000.s04439.t00001 bn:00071111n
d000.s04439.t00002 bn:00114073r
d000.s04439.t00003 bn:00025965n
d000.s04440.t00000 bn:00107267a
d000.s04440.t00001 bn:00007293n
d000.s04440.t00002 bn:00013640n
d000.s04440.t00003 bn:00002275n
d000.s04440.t00004 bn:00003601n
d000.s04440.t00005 bn:00067280n
d000.s04440.t00006 bn:00013723n
d000.s04441.t00000 bn:00107267a
d000.s04441.t00001 bn:00007293n
d000.s04441.t00002 bn:00082417v
d000.s04441.t00003 bn:00055322n
d000.s04441.t00004 bn:00067280n
d000.s04441.t00005 bn:00013723n
d000.s04441.t00006 bn:00104162a
d000.s04442.t00000 bn:00085740v
