d000.s00000.t00000 bn:00058442n
d000.s01465.t00000 bn:00023824n
d000.s01466.t00000 bn:00010407n
d000.s01467.t00000 bn:00058145n
d000.s01468.t00000 bn:00042887n
d000.s01469.t00000 bn:00000738n
d000.s01470.t00000 bn:00000738n
d000.s01471.t00000 bn:00000746n
d000.s01472.t00000 bn:00000746n
d000.s01473.t00000 bn:00046997n
d000.s01474.t00000 bn:00010404n
d000.s01475.t00000 bn:00064661n
d000.s01475.t00001 bn:00003341n
d000.s01476.t00000 bn:00000996n
d000.s01477.t00000 bn:00025804n
d000.s01478.t00000 bn:00025804n
d000.s01479.t00000 bn:00021497n
d000.s01480.t00000 bn:00021492n
d000.s01481.t00000 bn:00005095n
d000.s01482.t00000 bn:00078379n
d000.s01483.t00000 bn:00021501n
d000.s01484.t00000 bn:00081636n
d000.s01485.t00000 bn:00052671n
d000.s01486.t00000 bn:00029772n
d000.s01487.t00000 bn:00066374n
d000.s01488.t00000 bn:00074900n
d000.s01489.t00000 bn:00074900n
d000.s01490.t00000 bn:00074900n
d000.s01491.t00000 bn:00046139n
d000.s01492.t00000 bn:00029328n
d000.s01493.t00000 bn:00013775n
d000.s01494.t00000 bn:00034471n
d000.s01495.t00000 bn:00034471n
d000.s01496.t00000 bn:00034483n
d000.s01497.t00000 bn:00071316n
d000.s01498.t00000 bn:00013235n
d000.s01499.t00000 bn:00057547n
d000.s01500.t00000 bn:00067267n
d000.s01501.t00000 bn:00070597n
d000.s01502.t00000 bn:00050802n
d000.s01503.t00000 bn:00015916n
d000.s01504.t00000 bn:00001382n
d000.s01505.t00000 bn:00080852n
d000.s01506.t00000 bn:00043620n
d000.s01507.t00000 bn:00021009n
d000.s01508.t00000 bn:00032655n
d000.s01509.t00000 bn:00066999n
d000.s01510.t00000 bn:00035736n
d000.s01511.t00000 bn:00053450n
d000.s01512.t00000 bn:00070832n
d000.s01513.t00000 bn:00066574n
d000.s01514.t00000 bn:00005600n
d000.s01515.t00000 bn:00015320n
d000.s01516.t00000 bn:00066798n
d000.s01517.t00000 bn:00001469n
d000.s01518.t00000 bn:00005379n
d000.s01519.t00000 bn:00070159n
d000.s01520.t00000 bn:00070159n
d000.s01521.t00000 bn:00023218n
d000.s01522.t00000 bn:00072943n
d000.s01523.t00000 bn:00057546n
d000.s01524.t00000 bn:00023667n
d000.s01525.t00000 bn:00021959n
d000.s01526.t00000 bn:00050463n
d000.s01527.t00000 bn:00044716n
d000.s01528.t00000 bn:00021834n
d000.s01529.t00000 bn:00064021n
d000.s01530.t00000 bn:00000704n
d000.s01531.t00000 bn:00000554n
d000.s01532.t00000 bn:00021624n
d000.s01533.t00000 bn:00026169n
d000.s01534.t00000 bn:00023867n
d000.s01535.t00000 bn:00066467n
d000.s01536.t00000 bn:00000521n
d000.s01537.t00000 bn:00078460n
d000.s01538.t00000 bn:00078460n
d000.s01539.t00000 bn:00060547n
d000.s01540.t00000 bn:00019404n
d000.s01541.t00000 bn:00019404n
d000.s01542.t00000 bn:00000741n
d000.s01543.t00000 bn:00066443n
d000.s01544.t00000 bn:00002715n
d000.s01545.t00000 bn:00032370n
d000.s01546.t00000 bn:00004452n
d000.s01547.t00000 bn:00004452n
d000.s01548.t00000 bn:00066711n
d000.s01549.t00000 bn:00004451n
d000.s01550.t00000 bn:00004451n
d000.s01551.t00000 bn:00004353n
d000.s01552.t00000 bn:00064647n
d000.s01553.t00000 bn:00006558n
d000.s01554.t00000 bn:00064921n
d000.s01555.t00000 bn:00069548n
d000.s01556.t00000 bn:00023897n
d000.s01557.t00000 bn:00011249n
d000.s01558.t00000 bn:00020978n
d000.s01559.t00000 bn:00004350n
d000.s01560.t00000 bn:00004350n
d000.s01561.t00000 bn:00020977n
d000.s01562.t00000 bn:00067610n
d000.s01563.t00000 bn:00002086n
d000.s01564.t00000 bn:00002086n
d000.s01565.t00000 bn:00021649n
d000.s01566.t00000 bn:00021649n
d000.s01567.t00000 bn:00060095n
d000.s01568.t00000 bn:00016859n
d000.s01569.t00000 bn:00016859n
d000.s01570.t00000 bn:00037008n
d000.s01571.t00000 bn:00037008n
d000.s01572.t00000 bn:00060725n
d000.s01573.t00000 bn:00043267n
d000.s01574.t00000 bn:00064526n
d000.s01575.t00000 bn:00071525n
d000.s01576.t00000 bn:00071524n
d000.s01577.t00000 bn:00010395n
d000.s01578.t00000 bn:00046473n
d000.s01579.t00000 bn:00046473n
d000.s01580.t00000 bn:00046474n
d000.s01581.t00000 bn:00053215n
d000.s01582.t00000 bn:00081042n
d000.s01583.t00000 bn:00058287n
d000.s01584.t00000 bn:00017752n
d000.s01585.t00000 bn:00028116n
d000.s01586.t00000 bn:00046779n
d000.s01587.t00000 bn:00011110n
d000.s01588.t00000 bn:00068569n
d000.s01589.t00000 bn:00045830n
d000.s01590.t00000 bn:00051873n
d000.s01591.t00000 bn:00033628n
d000.s01592.t00000 bn:00033628n
d000.s01593.t00000 bn:00056463n
d000.s01594.t00000 bn:00026144n
d000.s01595.t00000 bn:00026144n
d000.s01596.t00000 bn:00029367n
d000.s01597.t00000 bn:00007896n
d000.s01598.t00000 bn:00024069n
d000.s01599.t00000 bn:00041661n
d000.s01600.t00000 bn:00073226n
d000.s01601.t00000 bn:00061560n
d000.s01602.t00000 bn:00061560n
d000.s01603.t00000 bn:00001079n
d000.s01604.t00000 bn:00074994n
d000.s01605.t00000 bn:00005929n
d000.s01606.t00000 bn:00064627n
d000.s01607.t00000 bn:00064627n
d000.s01608.t00000 bn:00073817n
d000.s01609.t00000 bn:00028604n
d000.s01610.t00000 bn:00051292n
d000.s01611.t00000 bn:00073187n
d000.s01612.t00000 bn:00045803n
d000.s01613.t00000 bn:00024014n
d000.s01614.t00000 bn:00053667n
d000.s01615.t00000 bn:00053666n
d000.s01616.t00000 bn:00071028n
d000.s01617.t00000 bn:00021408n
d000.s01618.t00000 bn:00001237n
d000.s01619.t00000 bn:00072794n
d000.s01620.t00000 bn:00074795n
d000.s01621.t00000 bn:00049912n
d000.s01622.t00000 bn:00053355n
d000.s01623.t00000 bn:00032400n
d000.s01624.t00000 bn:00030433n
d000.s01625.t00000 bn:00009396n
d000.s01626.t00000 bn:00009396n
d000.s01627.t00000 bn:00076214n
d000.s01628.t00000 bn:00004929n
d000.s01629.t00000 bn:00051568n
d000.s01630.t00000 bn:00055346n
d000.s01630.t00001 bn:00082036n
d000.s01631.t00000 bn:00062019n
d000.s01632.t00000 bn:00031111n
d000.s01633.t00000 bn:00057864n
d000.s01634.t00000 bn:00057864n
d000.s01635.t00000 bn:00059584n
d000.s01636.t00000 bn:00059584n
d000.s01637.t00000 bn:00064723n
d000.s01638.t00000 bn:00027523n
d000.s01639.t00000 bn:00032392n
d000.s01640.t00000 bn:00027544n
d000.s01641.t00000 bn:00005601n
d000.s01642.t00000 bn:00068385n
d000.s01643.t00000 bn:00026838n
d000.s01644.t00000 bn:00026838n
d000.s01645.t00000 bn:00066552n
d000.s01646.t00000 bn:00032393n
d000.s01647.t00000 bn:00000640n
d000.s01648.t00000 bn:00000640n
d000.s01649.t00000 bn:00017891n
d000.s01650.t00000 bn:00024526n
d000.s01651.t00000 bn:00058679n
d000.s01652.t00000 bn:00064818n
d000.s01653.t00000 bn:00059303n
d000.s01654.t00000 bn:00027363n
d000.s01655.t00000 bn:00047198n
d000.s01656.t00000 bn:00045910n
d000.s01657.t00000 bn:00079827n
d000.s01658.t00000 bn:00022073n
d000.s01659.t00000 bn:00055303n
d000.s01660.t00000 bn:00000994n
d000.s01661.t00000 bn:00021446n
d000.s01662.t00000 bn:00021758n
d000.s01663.t00000 bn:00021758n
d000.s01664.t00000 bn:00021769n
d000.s01665.t00000 bn:00021769n
d000.s01666.t00000 bn:00021769n
d000.s01667.t00000 bn:00005599n
d000.s01668.t00000 bn:00029212n
d000.s01669.t00000 bn:00058678n
d000.s01670.t00000 bn:00047375n
d000.s01671.t00000 bn:00047375n
d000.s01672.t00000 bn:00047377n
d000.s01673.t00000 bn:00005017n
d000.s01674.t00000 bn:00005017n
d000.s01675.t00000 bn:00023328n
d000.s01676.t00000 bn:00011226n
d000.s01677.t00000 bn:00014798n
d000.s01678.t00000 bn:00014798n
d000.s01679.t00000 bn:00026103n
d000.s01680.t00000 bn:00065295n
d000.s01681.t00000 bn:00030951n
d000.s01682.t00000 bn:00047238n
d000.s01683.t00000 bn:00047208n
d000.s01684.t00000 bn:00032089n
d000.s01685.t00000 bn:00026229n
d000.s01686.t00000 bn:00022245n
d000.s01687.t00000 bn:00064862n
d000.s01688.t00000 bn:00064862n
d000.s01689.t00000 bn:00064862n
d000.s01690.t00000 bn:00032368n
d000.s01691.t00000 bn:00048504n
d000.s01692.t00000 bn:00067181n
d000.s01693.t00000 bn:00056857n
d000.s01694.t00000 bn:00056857n
d000.s01695.t00000 bn:00020979n
d000.s01696.t00000 bn:00080495n
d000.s01697.t00000 bn:00016863n
d000.s01698.t00000 bn:00058421n
d000.s01699.t00000 bn:00060722n
d000.s01700.t00000 bn:00080266n
d000.s01701.t00000 bn:00056774n
d000.s01702.t00000 bn:00025222n
d000.s01703.t00000 bn:00032329n
d000.s01704.t00000 bn:00002812n
d000.s01705.t00000 bn:00001304n
d000.s01706.t00000 bn:00050486n
d000.s01707.t00000 bn:00023853n
d000.s01708.t00000 bn:00009866n
d000.s01709.t00000 bn:00080325n
d000.s01710.t00000 bn:00059311n
d000.s01711.t00000 bn:00059311n
d000.s01712.t00000 bn:00058935n
d000.s01713.t00000 bn:00080108n
d000.s01714.t00000 bn:00078424n
d000.s01715.t00000 bn:00009632n
d000.s01716.t00000 bn:00021586n
d000.s01717.t00000 bn:00003125n
d000.s01718.t00000 bn:00003125n
d000.s01719.t00000 bn:00003125n
d000.s01720.t00000 bn:00061623n
d000.s01721.t00000 bn:00011444n
d000.s01722.t00000 bn:00020671n
d000.s01723.t00000 bn:00020671n
d000.s01724.t00000 bn:00020670n
d000.s01725.t00000 bn:00046198n
d000.s01726.t00000 bn:00016401n
d000.s01727.t00000 bn:00010729n
d000.s01728.t00000 bn:00019848n
d000.s01729.t00000 bn:00019848n
d000.s01730.t00000 bn:00071358n
d000.s01731.t00000 bn:00014640n
d000.s01732.t00000 bn:00014640n
d000.s01733.t00000 bn:00052069n
d000.s01734.t00000 bn:00075023n
d000.s01735.t00000 bn:00075023n
d000.s01736.t00000 bn:00010664n
d000.s01737.t00000 bn:00026065n
d000.s01738.t00000 bn:00005014n
d000.s01739.t00000 bn:00025412n
d000.s01740.t00000 bn:00016850n
d000.s01741.t00000 bn:00032661n
d000.s01742.t00000 bn:00024539n
d000.s01743.t00000 bn:00025436n
d000.s01744.t00000 bn:00026399n
d000.s01745.t00000 bn:00079459n
d000.s01746.t00000 bn:00079459n
d000.s01747.t00000 bn:00079459n
d000.s01748.t00000 bn:00024727n
d000.s01749.t00000 bn:00067153n
d000.s01750.t00000 bn:00024726n
d000.s01751.t00000 bn:00035413n
d000.s01752.t00000 bn:00011141n
d000.s01753.t00000 bn:00078509n
d000.s01754.t00000 bn:00028625n
d000.s01755.t00000 bn:00028625n
d000.s01756.t00000 bn:00081253n
d000.s01757.t00000 bn:00025582n
d000.s01758.t00000 bn:00025582n
d000.s01759.t00000 bn:00030039n
d000.s01760.t00000 bn:00069551n
d000.s01761.t00000 bn:00028827n
d000.s01762.t00000 bn:00016390n
d000.s01763.t00000 bn:00046133n
d000.s01764.t00000 bn:00026344n
d000.s01765.t00000 bn:00012903n
d000.s01766.t00000 bn:00012896n
d000.s01767.t00000 bn:00072894n
d000.s01768.t00000 bn:00012327n
d000.s01769.t00000 bn:00079094n
d000.s01770.t00000 bn:00009729n
d000.s01771.t00000 bn:00067182n
d000.s01772.t00000 bn:00041998n
d000.s01773.t00000 bn:00071506n
d000.s01774.t00000 bn:00009395n
d000.s01775.t00000 bn:00035296n
d000.s01776.t00000 bn:00002223n
d000.s01777.t00000 bn:00024511n
d000.s01778.t00000 bn:00008333n
d000.s01779.t00000 bn:00030702n
d000.s01780.t00000 bn:00030702n
d000.s01781.t00000 bn:00078034n
d000.s01782.t00000 bn:00048587n
d000.s01783.t00000 bn:00030525n
d000.s01784.t00000 bn:00023845n
d000.s01785.t00000 bn:00017235n
d000.s01786.t00000 bn:00066597n
d000.s01787.t00000 bn:00063952n
d000.s01788.t00000 bn:00078657n
d000.s01789.t00000 bn:00007029n
d000.s01790.t00000 bn:00028484n
d000.s01791.t00000 bn:00070300n
d000.s01792.t00000 bn:00031550n
d000.s01793.t00000 bn:00042360n
d000.s01794.t00000 bn:00042360n
d000.s01795.t00000 bn:00060836n
d000.s01796.t00000 bn:00017345n
d000.s01797.t00000 bn:00036855n
d000.s01798.t00000 bn:00046545n
d000.s01799.t00000 bn:00008486n
d000.s01800.t00000 bn:00035936n
d000.s01801.t00000 bn:00065799n
d000.s01802.t00000 bn:00078365n
d000.s01803.t00000 bn:00078365n
d000.s01804.t00000 bn:00078365n
d000.s01805.t00000 bn:00078365n
d000.s01806.t00000 bn:00078365n
d000.s01807.t00000 bn:00049896n
d000.s01808.t00000 bn:00025855n
d000.s01809.t00000 bn:00025855n
d000.s01810.t00000 bn:00023573n
d000.s01811.t00000 bn:00003269n
d000.s01812.t00000 bn:00080435n
d000.s01813.t00000 bn:00031475n
d000.s01814.t00000 bn:00031475n
d000.s01815.t00000 bn:00047726n
d000.s01816.t00000 bn:00015704n
d000.s01817.t00000 bn:00062972n
d000.s01818.t00000 bn:00026022n
d000.s01819.t00000 bn:00022000n
d000.s01820.t00000 bn:00002071n
d000.s01821.t00000 bn:00002071n
d000.s01822.t00000 bn:00061333n
d000.s01823.t00000 bn:00000999n
d000.s01824.t00000 bn:00027620n
d000.s01825.t00000 bn:00022146n
d000.s01826.t00000 bn:00041465n
d000.s01827.t00000 bn:00007502n
d000.s01828.t00000 bn:00075451n
d000.s01829.t00000 bn:00036712n
d000.s01830.t00000 bn:00007503n
d000.s01831.t00000 bn:00007503n
d000.s01832.t00000 bn:00007503n
d000.s01833.t00000 bn:00011737n
d000.s01834.t00000 bn:00011737n
d000.s01835.t00000 bn:00078425n
d000.s01836.t00000 bn:00016013n
d000.s01837.t00000 bn:00032148n
d000.s01838.t00000 bn:00069327n
d000.s01839.t00000 bn:00021345n
d000.s01840.t00000 bn:00055294n
d000.s01841.t00000 bn:00072854n
d000.s01842.t00000 bn:00066917n
d000.s01843.t00000 bn:00027705n
d000.s01844.t00000 bn:00027430n
d000.s01845.t00000 bn:00044737n
d000.s01846.t00000 bn:00052121n
d000.s01847.t00000 bn:00052121n
d000.s01848.t00000 bn:00001744n
d000.s01849.t00000 bn:00001744n
d000.s01850.t00000 bn:00041785n
d000.s01851.t00000 bn:00045201n
d000.s01852.t00000 bn:00021008n
d000.s01853.t00000 bn:00005509n
d000.s01854.t00000 bn:00027574n
d000.s01855.t00000 bn:00020772n
d000.s01856.t00000 bn:00037474n
d000.s01857.t00000 bn:00063880n
d000.s01858.t00000 bn:00027206n
d000.s01859.t00000 bn:00027206n
d000.s01860.t00000 bn:00008434n
d000.s01861.t00000 bn:00043637n
d000.s01862.t00000 bn:00029544n
d000.s01863.t00000 bn:00034817n
d000.s01864.t00000 bn:00034817n
d000.s01865.t00000 bn:00021643n
d000.s01866.t00000 bn:00034563n
d000.s01867.t00000 bn:00024474n
d000.s01868.t00000 bn:00010183n
d000.s01869.t00000 bn:00028749n
d000.s01870.t00000 bn:00028749n
d000.s01871.t00000 bn:00020414n
d000.s01872.t00000 bn:00076266n
d000.s01873.t00000 bn:00076266n
d000.s01874.t00000 bn:00055543n
d000.s01875.t00000 bn:00026930n
d000.s01876.t00000 bn:00061450n
d000.s01877.t00000 bn:00061450n
d000.s01878.t00000 bn:00081947n
d000.s01879.t00000 bn:00030816n
d000.s01880.t00000 bn:00056963n
d000.s01881.t00000 bn:00071414n
d000.s01882.t00000 bn:00009065n
d000.s01883.t00000 bn:00022153n
d000.s01884.t00000 bn:00022153n
d000.s01885.t00000 bn:00022826n
d000.s01886.t00000 bn:00029771n
d000.s01887.t00000 bn:00013873n
d000.s01888.t00000 bn:00013873n
d000.s01889.t00000 bn:00014142n
d000.s01890.t00000 bn:00065800n
d000.s01891.t00000 bn:00032893n
d000.s01892.t00000 bn:00032894n
d000.s01893.t00000 bn:00019478n
d000.s01894.t00000 bn:00036571n
d000.s01895.t00000 bn:00021838n
d000.s01896.t00000 bn:00068235n
d000.s01897.t00000 bn:00036106n
d000.s01898.t00000 bn:00053107n
d000.s01899.t00000 bn:00069060n
d000.s01900.t00000 bn:00033822n
d000.s01901.t00000 bn:00069625n
d000.s01902.t00000 bn:00070696n
d000.s01903.t00000 bn:00070696n
d000.s01904.t00000 bn:00070696n
d000.s01905.t00000 bn:00016733n
d000.s01906.t00000 bn:00048368n
d000.s01907.t00000 bn:00051803n
d000.s01908.t00000 bn:00053830n
d000.s01909.t00000 bn:00034269n
d000.s01910.t00000 bn:00000511n
d000.s01911.t00000 bn:00002357n
d000.s01912.t00000 bn:00002358n
d000.s01913.t00000 bn:00005725n
d000.s01914.t00000 bn:00000109n
d000.s01915.t00000 bn:00034790n
d000.s01916.t00000 bn:00030422n
d000.s01917.t00000 bn:00070466n
d000.s01918.t00000 bn:00031008n
d000.s01919.t00000 bn:00021286n
d000.s01920.t00000 bn:00021286n
d000.s01921.t00000 bn:00014136n
d000.s01922.t00000 bn:00057564n
d000.s01923.t00000 bn:00008970n
d000.s01924.t00000 bn:00008970n
d000.s01925.t00000 bn:00025872n
d000.s01926.t00000 bn:00062831n
d000.s01927.t00000 bn:00013377n
d000.s01928.t00000 bn:00032892n
d000.s01929.t00000 bn:00032892n
d000.s01930.t00000 bn:00025871n
d000.s01931.t00000 bn:00012986n
d000.s01932.t00000 bn:00019384n
d000.s01933.t00000 bn:00064607n
d000.s01934.t00000 bn:00026308n
d000.s01935.t00000 bn:00026308n
d000.s01936.t00000 bn:00070222n
d000.s01937.t00000 bn:00055632n
d000.s01938.t00000 bn:00019283n
d000.s01939.t00000 bn:00001423n
d000.s01940.t00000 bn:00023236n
d000.s01941.t00000 bn:00023236n
d000.s01942.t00000 bn:00023236n
d000.s01943.t00000 bn:00023236n
d000.s01944.t00000 bn:00023236n
d000.s01945.t00000 bn:00023236n
d000.s01946.t00000 bn:00023236n
d000.s01947.t00000 bn:00023236n
d000.s01948.t00000 bn:00080841n
d000.s01949.t00000 bn:00054277n
d000.s01950.t00000 bn:00054277n
d000.s01951.t00000 bn:00031897n
d000.s01952.t00000 bn:00074010n
d000.s01953.t00000 bn:00063584n
d000.s01954.t00000 bn:00063595n
d000.s01955.t00000 bn:00044382n
d000.s01956.t00000 bn:00044382n
d000.s01957.t00000 bn:00024065n
d000.s01958.t00000 bn:00043803n
d000.s01959.t00000 bn:00021289n
d000.s01960.t00000 bn:00019227n
d000.s01961.t00000 bn:00072554n
d000.s01962.t00000 bn:00005732n
d000.s01963.t00000 bn:00056245n
d000.s01964.t00000 bn:00022026n
d000.s01965.t00000 bn:00007096n
d000.s01966.t00000 bn:00007096n
d000.s01967.t00000 bn:00021248n
d000.s01968.t00000 bn:00047601n
d000.s01969.t00000 bn:00020039n
d000.s01970.t00000 bn:00013379n
d000.s01971.t00000 bn:00008279n
d000.s01972.t00000 bn:00037243n
d000.s01973.t00000 bn:00061953n
d000.s01974.t00000 bn:00060834n
d000.s01975.t00000 bn:00075812n
d000.s01976.t00000 bn:00020875n
d000.s01977.t00000 bn:00013874n
d000.s01978.t00000 bn:00069619n
d000.s01979.t00000 bn:00019383n
d000.s01980.t00000 bn:00056913n
d000.s01981.t00000 bn:00041948n
d000.s01982.t00000 bn:00022333n
d000.s01983.t00000 bn:00063003n
d000.s01984.t00000 bn:00048225n
d000.s01985.t00000 bn:00011638n
d000.s01986.t00000 bn:00021015n
d000.s01987.t00000 bn:00073102n
d000.s01988.t00000 bn:00073102n
d000.s01989.t00000 bn:00055987n
d000.s01990.t00000 bn:00037665n
d000.s01991.t00000 bn:00043539n
d000.s01992.t00000 bn:00043539n
d000.s01993.t00000 bn:00043539n
d000.s01994.t00000 bn:00058873n
d000.s01995.t00000 bn:00058873n
d000.s01996.t00000 bn:00067223n
d000.s01997.t00000 bn:00076344n
d000.s01998.t00000 bn:00026488n
d000.s01999.t00000 bn:00020874n
d000.s02000.t00000 bn:00020718n
d000.s02001.t00000 bn:00017487n
d000.s02002.t00000 bn:00044017n
d000.s02003.t00000 bn:00072539n
d000.s02004.t00000 bn:00006554n
d000.s02005.t00000 bn:00054281n
d000.s02006.t00000 bn:00005706n
d000.s02007.t00000 bn:00005706n
d000.s02008.t00000 bn:00005706n
d000.s02009.t00000 bn:00014143n
d000.s02010.t00000 bn:00059195n
d000.s02011.t00000 bn:00032732n
d000.s02012.t00000 bn:00081604n
d000.s02013.t00000 bn:00032297n
d000.s02014.t00000 bn:00070034n
d000.s02015.t00000 bn:00008364n
d000.s02016.t00000 bn:00008364n
d000.s02017.t00000 bn:00043184n
d000.s02018.t00000 bn:00053459n
d000.s02019.t00000 bn:00035940n
d000.s02020.t00000 bn:00035940n
d000.s02021.t00000 bn:00015839n
d000.s02022.t00000 bn:00068424n
d000.s02023.t00000 bn:00020823n
d000.s02024.t00000 bn:00057379n
d000.s02025.t00000 bn:00057379n
d000.s02026.t00000 bn:00057379n
d000.s02027.t00000 bn:00023498n
d000.s02028.t00000 bn:00023498n
d000.s02029.t00000 bn:00012321n
d000.s02030.t00000 bn:00012321n
d000.s02031.t00000 bn:00073801n
d000.s02032.t00000 bn:00073801n
d000.s02033.t00000 bn:00048655n
d000.s02034.t00000 bn:00016429n
d000.s02035.t00000 bn:00059306n
d000.s02036.t00000 bn:00037738n
d000.s02037.t00000 bn:00070609n
d000.s02038.t00000 bn:00026301n
d000.s02039.t00000 bn:00075026n
d000.s02040.t00000 bn:00075026n
d000.s02041.t00000 bn:00008366n
d000.s02042.t00000 bn:00025314n
d000.s02043.t00000 bn:00054548n
d000.s02044.t00000 bn:00052817n
d000.s02045.t00000 bn:00052817n
d000.s02046.t00000 bn:00052817n
d000.s02047.t00000 bn:00036632n
d000.s02048.t00000 bn:00001950n
d000.s02049.t00000 bn:00002341n
d000.s02050.t00000 bn:00079381n
d000.s02051.t00000 bn:00075958n
d000.s02052.t00000 bn:00032744n
d000.s02053.t00000 bn:00032744n
d000.s02054.t00000 bn:00005513n
d000.s02055.t00000 bn:00002189n
d000.s02056.t00000 bn:00002311n
d000.s02057.t00000 bn:00036654n
d000.s02058.t00000 bn:00009183n
d000.s02059.t00000 bn:00009635n
d000.s02060.t00000 bn:00009635n
d000.s02061.t00000 bn:00009635n
d000.s02062.t00000 bn:00009635n
d000.s02063.t00000 bn:00032604n
d000.s02064.t00000 bn:00035681n
d000.s02065.t00000 bn:00035681n
d000.s02066.t00000 bn:00035681n
d000.s02067.t00000 bn:00035681n
d000.s02068.t00000 bn:00012366n
d000.s02069.t00000 bn:00017130n
d000.s02070.t00000 bn:00017120n
d000.s02071.t00000 bn:00019319n
d000.s02072.t00000 bn:00014155n
d000.s02073.t00000 bn:00021771n
d000.s02074.t00000 bn:00045099n
d000.s02075.t00000 bn:00022734n
d000.s02076.t00000 bn:00023235n
d000.s02077.t00000 bn:00023235n
d000.s02078.t00000 bn:00023252n
d000.s02079.t00000 bn:00005410n
d000.s02080.t00000 bn:00027748n
d000.s02081.t00000 bn:00026129n
d000.s02082.t00000 bn:00000356n
d000.s02083.t00000 bn:00000356n
d000.s02084.t00000 bn:00029422n
d000.s02085.t00000 bn:00032558n
d000.s02086.t00000 bn:00029650n
d000.s02087.t00000 bn:00030718n
d000.s02088.t00000 bn:00030718n
d000.s02089.t00000 bn:00030718n
d000.s02090.t00000 bn:00031075n
d000.s02091.t00000 bn:00026601n
d000.s02092.t00000 bn:00031294n
d000.s02093.t00000 bn:00034265n
d000.s02094.t00000 bn:00006752n
d000.s02095.t00000 bn:00040364n
d000.s02096.t00000 bn:00042409n
d000.s02097.t00000 bn:00054889n
d000.s02098.t00000 bn:00051294n
d000.s02099.t00000 bn:00051329n
d000.s02100.t00000 bn:00017014n
d000.s02101.t00000 bn:00060690n
d000.s02102.t00000 bn:00021051n
d000.s02103.t00000 bn:00023758n
d000.s02104.t00000 bn:00023758n
d000.s02105.t00000 bn:00063214n
d000.s02106.t00000 bn:00062704n
d000.s02107.t00000 bn:00063743n
d000.s02108.t00000 bn:00063743n
d000.s02109.t00000 bn:00049881n
d000.s02110.t00000 bn:00050521n
d000.s02111.t00000 bn:00036631n
d000.s02112.t00000 bn:00064158n
d000.s02113.t00000 bn:00065967n
d000.s02114.t00000 bn:00031058n
d000.s02115.t00000 bn:00051758n
d000.s02116.t00000 bn:00051758n
d000.s02117.t00000 bn:00011309n
d000.s02118.t00000 bn:00057223n
d000.s02119.t00000 bn:00023237n
d000.s02120.t00000 bn:00073819n
d000.s02121.t00000 bn:00071436n
d000.s02122.t00000 bn:00064914n
d000.s02123.t00000 bn:00074435n
d000.s02124.t00000 bn:00022737n
d000.s02125.t00000 bn:00074992n
d000.s02126.t00000 bn:00075374n
d000.s02127.t00000 bn:00076358n
d000.s02128.t00000 bn:00077608n
d000.s02129.t00000 bn:00043255n
d000.s02130.t00000 bn:00043255n
d000.s02131.t00000 bn:00043255n
d000.s02132.t00000 bn:00062699n
d000.s02133.t00000 bn:00062699n
d000.s02134.t00000 bn:00063538n
d000.s02135.t00000 bn:00077773n
d000.s02136.t00000 bn:00044562n
d000.s02137.t00000 bn:00076611n
d000.s02138.t00000 bn:00000943n
d000.s02139.t00000 bn:00027352n
d000.s02140.t00000 bn:00080991n
d000.s02141.t00000 bn:00081185n
d000.s02142.t00000 bn:00026135n
d000.s02143.t00000 bn:00036569n
d000.s02144.t00000 bn:00001803n
d000.s02145.t00000 bn:00014000n
d000.s02146.t00000 bn:00015632n
d000.s02147.t00000 bn:00022479n
d000.s02148.t00000 bn:00015625n
d000.s02149.t00000 bn:00064290n
d000.s02150.t00000 bn:00006734n
d000.s02151.t00000 bn:00054852n
d000.s02152.t00000 bn:00037548n
d000.s02153.t00000 bn:00040919n
d000.s02154.t00000 bn:00034116n
d000.s02155.t00000 bn:00081969n
d000.s02156.t00000 bn:00015115n
d000.s02157.t00000 bn:00058316n
d000.s02158.t00000 bn:00069306n
d000.s02159.t00000 bn:00028489n
d000.s02160.t00000 bn:00080935n
d000.s02161.t00000 bn:00080935n
d000.s02162.t00000 bn:00007938n
d000.s02163.t00000 bn:00015594n
d000.s02164.t00000 bn:00076038n
d000.s02165.t00000 bn:00000959n
d000.s02166.t00000 bn:00079484n
d000.s02167.t00000 bn:00025225n
d000.s02168.t00000 bn:00082104n
d000.s02169.t00000 bn:00002335n
d000.s02170.t00000 bn:00015444n
d000.s02171.t00000 bn:00041881n
d000.s02172.t00000 bn:00041881n
d000.s02173.t00000 bn:00021457n
d000.s02174.t00000 bn:00001383n
d000.s02175.t00000 bn:00004479n
d000.s02176.t00000 bn:00008363n
d000.s02177.t00000 bn:00008363n
d000.s02178.t00000 bn:00008783n
d000.s02179.t00000 bn:00009475n
d000.s02180.t00000 bn:00010727n
d000.s02181.t00000 bn:00011747n
d000.s02182.t00000 bn:00011766n
d000.s02183.t00000 bn:00013340n
d000.s02184.t00000 bn:00016702n
d000.s02185.t00000 bn:00017684n
d000.s02186.t00000 bn:00019767n
d000.s02187.t00000 bn:00022173n
d000.s02188.t00000 bn:00022173n
d000.s02189.t00000 bn:00022740n
d000.s02190.t00000 bn:00025139n
d000.s02191.t00000 bn:00029424n
d000.s02192.t00000 bn:00029424n
d000.s02193.t00000 bn:00012898n
d000.s02194.t00000 bn:00034551n
d000.s02195.t00000 bn:00035548n
d000.s02196.t00000 bn:00036165n
d000.s02197.t00000 bn:00041737n
